0.339    1.000   0.344  0.511  0.076  0.067  5.823
0.327    0.339   0.332  0.527  0.076  0.062  5.839
0.316    0.327   0.321  0.541  0.076  0.059  5.856
0.305    0.316   0.311  0.555  0.076  0.057  5.873
0.294    0.305   0.299  0.569  0.075  0.054  5.911
0.281    0.294   0.287  0.584  0.075  0.051  5.916
0.266    0.281   0.274  0.603  0.075  0.046  5.941
0.000    0.266   0.252  0.630  0.075  0.041  6.009
