3.90279	6.25874
3.90374	6.2529
3.90277	6.24707
3.90661	6.24261
3.90925	6.23736
3.91582	6.22826
3.92405	6.22063
3.93265	6.21385
3.94193	6.20803
3.95145	6.20265
3.96135	6.19798
3.97106	6.19379
3.98081	6.18969
4.00099	6.18334
4.02129	6.17745
4.04196	6.17302
4.06202	6.16893
4.08228	6.16598
4.10255	6.16313
4.12293	6.16127
4.14332	6.15946
4.16377	6.15857
4.18421	6.1577
4.20468	6.1577
4.22834	6.15769
4.25198	6.15885
4.27561	6.15999
4.29916	6.16231
4.32271	6.16463
4.3461	6.1682
4.36949	6.17182
4.39263	6.17682
4.40448	6.17959
4.4164	6.18211
4.42803	6.1857
4.43971	6.18912
4.45133	6.19276
4.46278	6.19692
4.47417	6.20121
4.48531	6.20612
4.4967	6.21143
4.50768	6.21755
4.51844	6.22407
4.52845	6.23168
4.53817	6.24016
4.54227	6.24514
4.54608	6.25034
4.54964	6.25581
4.55198	6.2619
4.55422	6.2681
4.55422	6.27469
4.55327	6.28053
4.55424	6.28636
4.5504	6.29082
4.54776	6.29607
4.54119	6.30517
4.53296	6.3128
4.52436	6.31958
4.51509	6.3254
4.50556	6.33078
4.49566	6.33545
4.48595	6.33963
4.4762	6.34374
4.45603	6.35008
4.43573	6.35598
4.41506	6.36041
4.395	6.36449
4.37474	6.36744
4.35447	6.3703
4.33408	6.37215
4.31369	6.37396
4.29325	6.37485
4.2728	6.37573
4.25233	6.37573
4.22867	6.37573
4.20504	6.37458
4.1814	6.37344
4.15786	6.37112
4.1343	6.36879
4.11091	6.36522
4.08752	6.3616
4.06439	6.35661
4.05253	6.35384
4.04062	6.35132
4.02899	6.34773
4.0173	6.34431
4.00568	6.34067
3.99424	6.33651
3.98284	6.33221
3.9717	6.3273
3.96031	6.322
3.94933	6.31588
3.93858	6.30936
3.92856	6.30175
3.91885	6.29327
3.91474	6.28829
3.91093	6.28309
3.90738	6.27762
3.90504	6.27152
3.90279	6.26533
